Year,All,Human,Natural,aerosol,Greenhouse,Land,Orbital,Ozone,Solar,Volcanic
1979,287.9539145,287.8930251,287.4868382,287.0962194,288.1970056,287.385947,287.4705154,287.503647,287.4486515,287.4793446
1980,287.9797541,287.9618093,287.4838374,287.0784533,288.1588549,287.3422343,287.4376787,287.566361,287.4602781,287.4749776
1981,288.0374114,287.9250052,287.5321986,287.0403164,288.1993865,287.3755429,287.4771139,287.5297099,287.4607538,287.443323
1982,287.9137809,287.9028568,287.3984541,287.1061121,288.2214871,287.3603524,287.5317547,287.5773597,287.4510341,287.3757016
1983,287.760449,288.0055375,287.1503104,287.1035816,288.2277915,287.308678,287.5169203,287.5665396,287.4779475,287.1672563
1984,287.8528529,288.0039893,287.259741,287.042214,288.2275994,287.2783794,287.4935899,287.5353765,287.4997683,287.2366915
1985,287.9259616,288.0179084,287.3529799,287.0811043,288.2743106,287.3063045,287.5139327,287.5467294,287.4954021,287.341913
1986,287.9478664,287.9938694,287.3511549,287.0540731,288.2864421,287.3429855,287.4923485,287.5215539,287.45972,287.4037387
1987,288.0154571,288.0252181,287.4363408,287.0485673,288.2810082,287.3107762,287.4636193,287.5275727,287.4876589,287.4132983
1988,288.038941,288.0808102,287.4511744,287.0367847,288.3642119,287.3744629,287.412059,287.563201,287.5025819,287.4339934
1989,288.0669952,288.0528245,287.4662809,287.0401334,288.3325347,287.3807977,287.4268094,287.5188291,287.4722325,287.4513284
1990,288.1222698,288.0917248,287.4838404,287.080002,288.367806,287.3565907,287.4593997,287.519125,287.4663859,287.5026402
1991,288.0769099,288.0947402,287.3902892,287.0445867,288.3509183,287.3512718,287.3974775,287.5427285,287.442134,287.4047011
1992,287.7915753,288.0890314,287.0786197,287.0618975,288.4028484,287.3898665,287.4710274,287.5733207,287.4875037,287.092281
1993,287.8628776,288.0914102,287.174787,287.0209759,288.4312142,287.3591419,287.4690342,287.5608127,287.4860462,287.1643661
1994,287.9578432,288.0829351,287.2785232,287.005113,288.4630437,287.3459319,287.4113992,287.5768596,287.4641064,287.2766016
1995,288.0853995,288.1275675,287.3893097,287.0459703,288.4576172,287.3463444,287.4309002,287.5707908,287.467234,287.3923827
1996,288.1046464,288.1428108,287.4243758,287.0142687,288.4376288,287.3615976,287.4973616,287.594765,287.5075309,287.4715875
1997,288.1378816,288.1523326,287.465982,287.0244169,288.4711317,287.3397592,287.3827286,287.5197193,287.4487493,287.4933563
1998,288.2309682,288.1920068,287.4670124,287.0147299,288.4790263,287.3184324,287.3731601,287.5305012,287.4922626,287.5280557
1999,288.2688281,288.2061297,287.5157308,287.0383143,288.4686619,287.3040134,287.43022,287.5492325,287.5028716,287.5232208
2000,288.308978,288.1832639,287.5169631,287.0232934,288.5097935,287.3329341,287.4377207,287.50614,287.4711482,287.4976285
2001,288.3209289,288.1842387,287.5266136,286.9687541,288.552342,287.3236659,287.3895764,287.5182456,287.4725209,287.499175
2002,288.3352539,288.2186731,287.5453743,287.022696,288.594759,287.3618507,287.399834,287.5455417,287.4771417,287.5044337
2003,288.3482853,288.2597677,287.5342294,287.0335477,288.5950259,287.3459896,287.4606982,287.5036283,287.4799193,287.5152206
2004,288.3828791,288.2694792,287.5597677,287.0208716,288.6154458,287.3206287,287.4196394,287.5003899,287.4913812,287.5340057
2005,288.3637567,288.3035028,287.6049249,287.0003263,288.652028,287.3426531,287.3833692,287.5379015,287.4531571,287.5377444
